match_id,match_number,date,start_time,toss_winner_id,match_winner_id,season_id,venue_id
1,Match 1,2014-07-26,20:00,5,5,1,5
10,Match 10,2014-07-31,21:00,2,4,1,4
100,Match 39,2015-08-09,21:00,6,2,2,2
101,Match 40,2015-08-10,20:00,3,3,2,2
102,Match 41,2015-08-11,20:00,7,3,2,2
103,Match 42,2015-08-11,21:00,8,0,2,2
104,Match 43,2015-08-12,20:00,1,5,2,1
105,Match 44,2015-08-13,20:00,7,4,2,1
106,Match 45,2015-08-13,21:00,3,3,2,1
107,Match 46,2015-08-14,20:00,4,6,2,1
108,Match 47,2015-08-14,21:00,2,1,2,1
109,Match 48,2015-08-15,20:00,6,5,2,1
11,Match 11,2014-08-01,20:00,8,6,1,4
110,Match 49,2015-08-15,21:00,1,1,2,1
111,Match 50,2015-08-16,20:00,2,7,2,7
112,Match 51,2015-08-16,21:00,4,4,2,7
113,Match 52,2015-08-17,20:00,7,5,2,7
114,Match 53,2015-08-18,20:00,5,8,2,7
115,Match 54,2015-08-18,21:00,7,6,2,7
116,Match 55,2015-08-19,20:00,3,6,2,7
117,Match 56,2015-08-19,21:00,7,1,2,7
118,Semi-Final 1,2015-08-21,20:00,8,1,2,5
119,Semi-Final 2,2015-08-21,21:00,6,5,2,5
12,Match 12,2014-08-01,21:00,7,4,1,4
120,3/4 Place,2015-08-23,20:00,6,8,2,5
121,Final,2015-08-23,21:00,5,5,2,5
122,Match 1,2016-01-30,20:00,5,5,3,8
123,Match 2,2016-01-30,21:00,2,1,3,8
124,Match 3,2016-01-31,20:00,5,3,3,8
125,Match 4,2016-01-31,21:00,7,8,3,8
126,Match 5,2016-02-01,20:00,6,6,3,8
127,Match 6,2016-02-01,21:00,2,8,3,8
128,Match 7,2016-02-02,20:00,4,4,3,8
129,Match 8,2016-02-03,20:00,1,6,3,1
13,Match 13,2014-08-02,20:00,3,3,1,4
130,Match 9,2016-02-03,21:00,7,7,3,1
131,Match 10,2016-02-04,20:00,1,4,3,1
132,Match 11,2016-02-05,20:00,2,5,3,1
133,Match 12,2016-02-05,21:00,1,1,3,1
134,Match 13,2016-02-06,20:00,5,6,3,1
135,Match 14,2016-02-06,21:00,1,8,3,1
136,Match 15,2016-02-07,20:00,7,4,3,4
137,Match 16,2016-02-07,21:00,3,3,3,4
138,Match 17,2016-02-08,20:00,8,6,3,4
139,Match 18,2016-02-08,21:00,4,4,3,4
14,Match 14,2014-08-02,21:00,5,5,1,4
140,Match 19,2016-02-09,20:00,6,6,3,4
141,Match 20,2016-02-10,20:00,5,5,3,4
142,Match 21,2016-02-10,21:00,3,4,3,4
143,Match 22,2016-02-11,20:00,6,0,3,7
144,Match 23,2016-02-12,20:00,6,6,3,7
145,Match 24,2016-02-12,21:00,7,0,3,7
146,Match 25,2016-02-13,20:00,3,8,3,7
147,Match 26,2016-02-13,21:00,7,5,3,7
148,Match 27,2016-02-14,20:00,5,5,3,7
149,Match 28,2016-02-14,21:00,1,7,3,7
15,Match 15,2014-08-03,20:00,8,8,1,2
150,Match 29,2016-02-16,20:00,4,6,3,6
151,Match 30,2016-02-16,21:00,8,3,3,6
152,Match 31,2016-02-17,20:00,1,6,3,6
