team_id,match_id,score,total_All_outs,total_declares,all_out_points,extra_points,raid_bonus_points,total_raid_points,raid_touch_points,tackle_capture_points,tackle_capture_bonus_points,total_tackle_points,total_points_in_match,empty_raids,successful_raids,super_raids,total_number_of_raids,unsuccessful_raids,successful_tackles,super_tackles,total_number_of_tackles,unsuccessful_tackles
3,1,28,2,0,2,0,3,25,22,1,0,1,28,10,20,0,40,10,1,0,24,23
5,1,44,4,0,4,0,5,28,23,12,0,12,44,15,21,0,40,4,10,0,32,22
2,10,39,4,0,4,0,5,26,21,9,0,9,39,8,24,0,44,12,8,0,27,19
4,10,40,4,0,4,0,6,25,19,11,0,11,40,20,16,0,45,9,11,0,32,21
2,100,45,1,0,6,1,1,23,22,13,2,15,45,25,13,0,45,7,13,0,25,12
6,100,26,0,0,0,3,4,16,12,6,1,7,26,15,15,0,44,14,6,0,28,22
2,101,21,0,0,0,1,3,12,9,6,2,8,21,16,10,0,39,13,6,0,33,27
3,101,51,5,0,10,1,1,28,27,12,0,12,51,16,18,0,40,6,12,0,21,9
3,102,31,2,0,4,0,0,15,15,12,0,12,31,24,14,0,44,6,12,0,21,9
7,102,18,0,0,0,1,2,11,9,6,0,6,18,22,10,0,44,12,6,0,21,15
2,103,45,1,0,4,0,6,34,28,7,0,7,45,16,20,0,44,8,7,0,35,28
8,103,45,0,0,0,1,7,35,28,7,2,9,45,15,22,0,44,7,7,0,35,28
1,104,29,0,0,0,3,4,16,12,9,1,10,29,19,12,0,49,18,9,0,20,11
5,104,36,1,0,4,1,1,12,11,18,1,19,36,27,11,0,48,10,18,0,30,12
4,105,31,1,0,2,5,3,14,11,9,1,10,31,25,11,0,46,10,9,0,19,10
7,105,28,0,0,0,5,1,11,10,9,3,12,28,23,10,0,46,13,9,0,20,11
1,106,25,1,0,2,4,1,12,11,7,0,7,25,29,11,0,52,12,7,0,16,9
3,106,27,1,0,2,1,2,11,9,12,1,13,27,33,11,0,53,9,12,0,23,11
4,107,32,0,0,2,1,4,20,16,7,2,9,32,27,11,0,47,9,7,0,25,18
6,107,34,0,0,2,1,3,21,18,9,1,10,34,25,14,0,47,8,9,0,25,16
1,108,40,0,0,6,0,2,20,18,14,0,14,40,25,16,0,47,6,14,0,22,8
2,108,21,0,0,0,0,7,15,8,6,0,6,21,19,13,0,46,14,6,0,24,18
6,109,27,0,0,2,1,2,13,11,11,0,11,27,24,13,0,48,11,11,0,26,15
5,109,32,1,0,4,1,0,15,15,11,1,12,32,26,12,0,49,11,11,0,22,11
6,11,34,2,0,2,1,4,27,23,4,0,4,34,13,22,0,40,5,4,0,23,19
8,11,35,2,0,2,0,8,27,19,6,0,6,35,11,22,0,41,8,5,0,28,23
1,110,43,2,0,6,4,0,18,18,15,0,15,43,29,14,0,52,9,15,0,30,15
8,110,29,1,0,2,0,3,18,15,8,1,9,29,17,17,0,52,18,8,0,26,18
7,111,33,1,0,4,0,1,18,17,11,0,11,33,17,15,0,40,8,11,0,23,12
2,111,28,1,0,2,1,4,16,12,7,2,9,28,18,11,0,40,11,7,0,24,17
3,112,38,1,0,2,7,5,25,20,3,1,4,38,8,22,0,43,13,3,0,22,19
4,112,39,2,0,4,0,0,19,19,13,3,16,39,23,11,0,39,5,13,0,33,20
7,113,34,0,0,2,3,5,18,13,10,1,11,34,16,13,0,43,14,10,0,27,17
5,113,39,1,0,4,1,1,18,17,14,2,16,39,19,12,0,43,12,14,0,27,13
5,114,25,0,0,0,0,4,19,15,5,1,6,25,15,15,0,43,13,5,0,30,25
8,114,46,2,0,6,1,2,27,25,12,0,12,46,15,23,0,43,5,12,0,27,15
7,115,21,0,0,0,2,4,9,5,7,3,10,21,22,6,0,43,15,7,0,21,14
6,115,38,3,0,6,5,0,14,14,13,0,13,38,24,11,0,44,9,13,0,18,5
6,116,26,1,0,2,1,1,10,9,13,0,13,26,27,6,0,42,9,13,0,19,6
3,116,24,0,0,0,0,6,12,6,9,3,12,24,17,12,0,43,14,9,0,18,9
7,117,30,0,0,2,0,3,20,17,8,0,8,30,26,13,0,48,9,8,0,23,15
1,117,31,1,0,2,4,1,16,15,7,2,9,31,29,10,0,47,8,7,0,24,17
8,118,38,0,0,2,0,7,21,14,9,6,15,38,20,17,0,52,15,9,0,28,19
1,118,39,0,0,4,2,1,20,19,13,0,13,39,26,17,0,52,9,13,0,27,14
5,119,35,2,0,4,0,1,13,12,16,2,18,35,30,13,0,50,7,16,0,24,8
6,119,18,0,0,0,1,1,9,8,7,1,8,18,26,8,0,50,16,7,0,19,12
4,12,37,2,0,2,0,4,26,22,9,0,9,37,15,17,0,40,8,8,0,29,21
7,12,34,4,0,4,0,1,22,21,8,0,8,34,14,15,0,39,9,8,0,30,22
6,120,26,0,0,0,1,2,15,13,7,3,10,26,26,11,0,46,9,7,0,24,17
8,120,34,2,0,4,4,2,19,17,7,0,7,34,24,15,0,46,7,7,0,20,13
5,121,36,1,0,4,1,1,17,16,14,0,14,36,28,14,0,52,10,14,0,29,15
1,121,30,1,0,2,0,3,18,15,10,0,10,30,24,13,0,51,14,10,0,26,16
8,122,25,0,0,2,1,0,16,16,6,0,6,25,20,12,0,40,8,6,0,17,11
5,122,27,1,0,2,3,4,15,11,7,0,7,27,22,11,0,40,7,7,0,23,16
2,123,29,0,0,2,3,3,19,16,5,0,5,29,16,15,0,42,11,5,0,21,16
1,123,35,2,0,4,2,2,18,16,11,0,11,35,23,12,0,42,7,11,0,27,16
3,124,27,0,0,2,3,0,10,10,10,2,12,27,22,8,0,39,9,10,0,18,8
5,124,18,0,0,0,0,1,9,8,9,0,9,18,20,8,0,39,11,9,0,19,10
8,125,27,0,0,0,4,4,13,9,8,2,10,27,22,10,0,43,11,8,2,19,11
7,125,26,1,0,2,2,0,11,11,10,1,11,26,23,10,0,43,10,10,1,19,9
6,126,29,0,0,2,0,0,14,14,10,3,13,29,20,10,0,39,9,10,0,22,12
3,126,28,0,0,0,3,4,16,12,6,3,9,28,16,14,0,40,10,6,0,20,14
8,127,45,2,0,4,1,4,26,22,12,2,14,45,16,22,1,42,4,12,1,32,20
2,127,34,1,0,2,1,7,27,20,4,0,4,34,13,17,1,43,13,4,0,26,22
8,128,17,0,0,0,1,3,9,6,7,0,7,17,23,7,0,41,11,7,0,16,9
4,128,25,1,0,2,2,2,11,9,10,0,10,25,24,10,0,41,7,10,0,16,6
1,129,24,0,0,0,2,3,17,14,5,0,5,24,17,15,0,43,11,5,0,21,16
6,129,33,1,0,2,2,2,18,16,10,1,11,33,21,16,0,42,5,10,0,24,14
3,13,35,4,0,4,0,7,24,17,7,0,7,35,15,21,0,39,3,7,0,16,9
6,13,18,0,0,0,0,5,14,9,4,0,4,18,13,14,0,39,12,3,0,20,17
2,130,20,0,0,0,1,2,13,11,5,1,6,20,19,9,0,41,13,5,0,25,20
7,130,38,2,0,4,1,0,20,20,13,0,13,38,20,16,0,41,5,13,0,24,11
