venue_id,venue_name,venue_city,team_id
1,Sree Kanteerava Stadium,Bengaluru,1
2,Thyagaraj Sports Complex,Delhi,2
3,Sawai Mansingh Stadium,Jaipur,3
4,Netaji Subhash Chandra Bose Indoor Stadium,Kolkata,4
5,NSCI SVP Stadium,Mumbai,5
6,Patliputra Sports Complex,Patna,6
7,Shree Shiv Chhatrapati Sports Complex,Pune,7
8,Rajiv Gandhi Indoor Stadium,Vizag,8
9,Gachibowli Indoor Stadium,Hyderabad,8
11,The Arena by Transstadia,Ahmedabad,31
13,Babu Banarasi Das Indoor Stadium,Lucknow,30
14,Motilal Nehru School of Sports,Sonepat,28
15,Harivansh Tana Bhagat Indoor Stadium,Ranchi,6
16,Jawaharlal Nehru Indoor Stadium,Chennai,29
17,Mankapur Indoor Stadium,Nagpur,1
23,Shaheed Vijay Singh Pathik Sports Complex,Greater Noida,30
25,Tau Devilal Sports Complex,Panchkula,3
10,Indira Gandhi Indoor Stadium,New Delhi,2
24,Rajiv Gandhi Indoor Stadium,Kochi,29
